feature,perm_median,perm_p5,perm_p95,gini_median,gini_p5,gini_p95,auc_median,auc_p5,auc_p95,n_input,leaf,n_repeats
log_mass,0.21930565768806465,0.21217193224551448,0.22620568856799905,0.7437125877125799,0.7316408236203579,0.7592461722391132,0.8624102861670633,0.8583613732187808,0.867010155843947,83929,250,200
bulge_prominence,0.09279903575941792,0.08839496654282317,0.09781176412841593,0.2543092665766248,0.23822687696242922,0.266647129097399,0.8624102861670633,0.8583613732187808,0.867010155843947,83929,250,200
random_control,1.27040854348226e-05,-0.00022943150347267904,0.00021706300891979324,0.001893678389670055,0.0013683451164386961,0.0025738952025066595,0.8624102861670633,0.8583613732187808,0.867010155843947,83929,250,200
