bar_class,n,qfrac,qfrac_se,frac_removed_agn_clean,frac_composite,frac_agn,frac_liner_lowsn,frac_noline,med_ssfr_fib_minus_tot
strong,12074,0.28648335265860525,,0.6334271989398708,0.23438794103031307,0.11330130859698526,0.1832864005300646,0.10245154878250787,-0.04265022277832031
weak,29324,0.1472172964124949,,0.3805415359432547,0.12866593916246077,0.05507434183603874,0.12934797435547674,0.06745328058927841,-0.1348123550415039
unbarred,53829,0.11765033717884411,,0.24992104627617084,0.08151739768526259,0.03713611621988148,0.08458265990451244,0.04668487246651433,-0.1901874542236328
agn_only:strong,1368,0.40423976608187134,,,,,,,
agn_only:unbarred,1999,0.39569784892446225,,,,,,,
agn_only:mass_controlled,6,0.02212615264325899,0.016775336537521997,,,,,,
composite_only:strong,2830,0.09505300353356891,,,,,,,
composite_only:unbarred,4388,0.09662716499544212,,,,,,,
composite_only:mass_controlled,6,-0.0030421728269388482,0.007087077061618295,,,,,,
