mass_bin,bulge_bin,mass_lo,mass_hi,bulge_lo,bulge_hi,n_barred,n_unbarred,k_barred,k_unbarred,valid,q_barred,q_barred_lo,q_barred_hi,q_unbarred,q_unbarred_lo,q_unbarred_hi,delta_q,delta_q_lo,delta_q_hi,sample,scheme,barmode
5,1,10.933696111043295,12.37898349761963,1.2574031013558358,1.4080759317986264,785,968,217,245,True,0.2764331210191083,0.24629329463581795,0.3087503759583473,0.253099173553719,0.2267221858171818,0.28142804212221767,0.02333394746538925,-0.018029489635342046,0.06504905802332983,all,conventional,all
5,2,10.933696111043295,12.37898349761963,1.4080759317986264,1.5679604806243066,1804,1649,652,521,True,0.3614190687361419,0.3395662871725167,0.38386078793938816,0.3159490600363857,0.2939605019034108,0.33879314378920405,0.045470008699756204,0.013856780067215406,0.07688859316125876,all,conventional,all
5,3,10.933696111043295,12.37898349761963,1.5679604806243066,1.7760225903165756,2985,2073,1369,850,True,0.45862646566164156,0.44081572673564967,0.476543556651212,0.4100337674867342,0.38904662552098707,0.4313537240503264,0.048592698174907356,0.020812075990310756,0.0761876665100762,all,conventional,all
5,4,10.933696111043295,12.37898349761963,1.7760225903165756,3.245336315750976,2537,2604,1346,1378,True,0.5305478912100906,0.5110964903407835,0.5499069223128896,0.5291858678955453,0.509985436699159,0.5483003150998544,0.0013620233145452687,-0.02590919022106404,0.028627911221714302,all,conventional,all
0,0,9.500033378601074,10.030103047688803,0.3829151653165051,1.2574031013558358,2853,3791,26,70,True,0.009113214160532773,0.0062267208199659925,0.013319851723735995,0.018464785017145872,0.014641309332912134,0.02326316187664272,-0.0093515708566131,-0.014951237301223101,-0.00366696305166481,agn_clean,conventional,all
0,1,9.500033378601074,10.030103047688803,1.2574031013558358,1.4080759317986264,1575,2413,8,33,True,0.005079365079365079,0.002576013749865774,0.009991086455062073,0.013675922088686282,0.009754501622577289,0.01914332225651716,-0.008596557009321203,-0.01460981174150269,-0.002311451970859456,agn_clean,conventional,all
0,2,9.500033378601074,10.030103047688803,1.4080759317986264,1.5679604806243066,1003,1584,8,12,True,0.007976071784646061,0.004047038510990922,0.015659598166380583,0.007575757575757576,0.0043389407486507095,0.013195214608000744,0.0004003142088884852,-0.006456478029667122,0.008737793494083296,agn_clean,conventional,all
0,3,9.500033378601074,10.030103047688803,1.5679604806243066,1.7760225903165756,575,871,7,4,True,0.01217391304347826,0.005909291091430752,0.02491341268836332,0.004592422502870264,0.0017873092193343623,0.011748239080647531,0.0075814905406079965,-0.0019290929902205664,0.02062616423278965,agn_clean,conventional,all
0,4,9.500033378601074,10.030103047688803,1.7760225903165756,3.245336315750976,231,515,4,6,True,0.017316017316017316,0.006753942965300817,0.043669261183398075,0.011650485436893204,0.005350160118778077,0.025182208780000995,0.005665531879124112,-0.011500275740224056,0.03276142753598926,agn_clean,conventional,all
1,0,10.030103047688803,10.333945910135904,0.3829151653165051,1.2574031013558358,1246,3671,24,71,True,0.019261637239165328,0.01297747133851721,0.028500956549136536,0.019340779079269954,0.015362257984160792,0.024324204807487537,-7.914184010462608e-05,-0.008099445640805041,0.009980363685309407,agn_clean,conventional,all
