z_idx,z_lo,z_hi,mass_bin,bulge_bin,mass_lo,mass_hi,bulge_lo,bulge_hi,n_barred,n_unbarred,valid,d_mass,d_bulge,d_z,q_unbarred,med_mass_u,med_bulge_u,med_z_u,delta_q,barmode
0,0.02,0.06,0,0,9.500033378601074,9.757833003997803,0.3864016248867915,1.183200033387799,128,682,True,-0.042372703552246094,-0.1090831059254993,0.0003438461571931839,0.02785923753665689,9.643686294555664,1.1117873874757978,0.03858648240566254,-0.02004673753665689,strong_only
0,0.02,0.06,0,1,9.500033378601074,9.757833003997803,1.183200033387799,1.3036914768597134,68,586,True,0.008263111114501953,0.000855048080241172,-0.002834707498550415,0.013651877133105802,9.639761447906494,1.2421590589129021,0.04051940143108368,-0.013651877133105802,strong_only
0,0.02,0.06,0,2,9.500033378601074,9.757833003997803,1.3036914768597134,1.4591103326268486,61,469,True,0.03900146484375,0.0015072020242123951,-0.005448583513498306,0.014925373134328358,9.627423286437988,1.3678232749130834,0.043616946786642075,0.01786151211157328,strong_only
0,0.02,0.06,0,3,9.500033378601074,9.757833003997803,1.4591103326268486,1.7085361622827162,48,327,True,-0.0019745826721191406,-0.011712078038045748,-0.005791559815406799,0.009174311926605505,9.626382827758789,1.5468667219540093,0.04618612304329872,0.07415902140672782,strong_only
0,0.02,0.06,0,4,9.500033378601074,9.757833003997803,1.7085361622827162,3.245336315750976,19,137,False,,,,,,,,,strong_only
0,0.02,0.06,1,0,9.757833003997803,10.006921768188477,0.3864016248867915,1.183200033387799,43,799,True,-0.039340972900390625,-0.061091986078761096,-0.0010035708546638489,0.028785982478097622,9.890135765075684,1.1250597793808887,0.03939380869269371,-0.028785982478097622,strong_only
0,0.02,0.06,1,1,9.757833003997803,10.006921768188477,1.183200033387799,1.3036914768597134,45,725,True,-0.004576683044433594,0.024175333767589624,-0.008058790117502213,0.02620689655172414,9.884632110595703,1.2346803805301574,0.043162811547517776,-0.02620689655172414,strong_only
0,0.02,0.06,1,2,9.757833003997803,10.006921768188477,1.3036914768597134,1.4591103326268486,65,515,True,-0.028532981872558594,0.01954848339692883,-0.00835970789194107,0.02524271844660194,9.889863967895508,1.3672488660112414,0.045603781938552856,0.020911127707244216,strong_only
0,0.02,0.06,1,3,9.757833003997803,10.006921768188477,1.4591103326268486,1.7085361622827162,81,323,True,-0.02548694610595703,0.029361173092753212,-0.0069564469158649445,0.015479876160990712,9.88886833190918,1.5417847570800909,0.04555338993668556,0.10797691396246607,strong_only
0,0.02,0.06,1,4,9.757833003997803,10.006921768188477,1.7085361622827162,3.245336315750976,47,172,True,0.0478057861328125,0.009700094089973188,-0.013657426461577415,0.040697674418604654,9.879857063293457,1.9063877628170152,0.04260457307100296,0.21462147451756552,strong_only
