barmode,quench_def,quench_col,n_valid_cells,wmean_delta_q,wmean_delta_q_se,frac_cells_pos,n_cells_sig_pos,n_cells_sig_neg,re_mean_delta_q,re_mean_delta_q_se,cell_sd_delta_q,cochran_Q,cochran_dof,cochran_I2,tau2,cochran_p
all,delta_sfr (fiducial),quenched_dsfr,90,0.004562392847967679,0.001153577818561337,0.7666666666666667,23,3,0.012418937977499928,0.002228481022289185,0.031351564290211034,233.48682615340428,89,0.6188221773954574,0.00019999835840953586,6.622879316981493e-15
all,ssfr<-10.5,quenched_ssfr_-10.5,90,0.024615339330467452,0.001979190997091983,0.8111111111111111,43,5,0.04753507570460504,0.005229978185094193,0.05538921368634739,532.9763726788249,89,0.8330132355536293,0.0017952091313866263,1.8114384395725104e-64
all,ssfr<-11.0,quenched_ssfr_-11.0,90,0.007204019000694309,0.0012652577391324756,0.7777777777777778,30,2,0.020016007486057114,0.002716164006666727,0.03460006773643518,288.4261530687087,89,0.6914288144362607,0.0003342974369887402,6.890167446687018e-23
all,ssfr<-11.5,quenched_ssfr_-11.5,90,0.0020835597966949782,0.0008657428455333347,0.7,15,1,0.006796955117993549,0.0015829408835208723,0.027403425885604647,192.99391015863847,89,0.5388455525521859,8.175152486031253e-05,1.1765208171932899e-09
strong_only,delta_sfr (fiducial),quenched_dsfr,75,0.026665514309800745,0.003176536439019477,0.8133333333333334,34,1,0.036909469031541624,0.00535501877976923,0.04920151045527286,188.0918534889623,74,0.6065751991521392,0.0011803237113886017,6.780519115524328e-12
strong_only,ssfr<-10.5,quenched_ssfr_-10.5,75,0.060119976250180764,0.004110924125631442,0.8266666666666667,45,0,0.0951941921384317,0.010452857234759425,0.1006968873628744,436.4086593233705,74,0.8304341620655895,0.006274676147089852,8.738757336208192e-53
strong_only,ssfr<-11.0,quenched_ssfr_-11.0,75,0.03087033641936664,0.0033643717887516878,0.8133333333333334,39,1,0.047863523749965706,0.006355861132341312,0.056881150844381466,231.3621924462229,74,0.6801551748036779,0.0018376416824714824,4.23433032642839e-18
strong_only,ssfr<-11.5,quenched_ssfr_-11.5,75,0.01780869197872162,0.0027142353082910083,0.76,28,1,0.025662379013018204,0.0043591297169536716,0.04409470137574965,167.31291298749022,74,0.5577149505159061,0.0007047119811657296,3.5147627433950716e-09
