mass_bin,bulge_bin,mass_lo,mass_hi,bulge_lo,bulge_hi,n_barred,n_unbarred,k_barred,k_unbarred,valid,q_barred,q_barred_lo,q_barred_hi,q_unbarred,q_unbarred_lo,q_unbarred_hi,delta_q,delta_q_lo,delta_q_hi,z_lo,z_hi,sample,scheme,barmode
0,0,9.500033378601074,9.757833003997803,0.3864016248867915,1.183200033387799,580,682,9,19,True,0.015517241379310345,0.008184742596466978,0.029225171500438473,0.02785923753665689,0.01790658778848671,0.04310089183025871,-0.012341996157346546,-0.029255705508227276,0.004597973890309491,0.02,0.06,all,comparison,weak_only
0,1,9.500033378601074,9.757833003997803,1.183200033387799,1.3036914768597134,375,586,3,8,True,0.008,0.0027243775654703616,0.023253399131224532,0.013651877133105802,0.006933496556547103,0.026705133831293658,-0.005651877133105802,-0.01973092903657212,0.011015540862130366,0.02,0.06,all,comparison,weak_only
0,2,9.500033378601074,9.757833003997803,1.3036914768597134,1.4591103326268486,309,469,4,7,True,0.012944983818770227,0.00504525609725876,0.03280605320596594,0.014925373134328358,0.0072482491188174975,0.030484184211356652,-0.0019803893155581308,-0.01942981051526201,0.01931280937211058,0.02,0.06,all,comparison,weak_only
0,3,9.500033378601074,9.757833003997803,1.4591103326268486,1.7085361622827162,215,327,5,3,True,0.023255813953488372,0.009973457135895241,0.053275339025873183,0.009174311926605505,0.003124903596677168,0.026621848384693742,0.014081502026882867,-0.007846505887339095,0.04470448729471309,0.02,0.06,all,comparison,weak_only
0,4,9.500033378601074,9.757833003997803,1.7085361622827162,3.245336315750976,68,137,7,1,True,0.10294117647058823,0.05076577178992908,0.19757911309365633,0.0072992700729927005,0.0012896645694117012,0.040185756585739155,0.09564190639759552,0.033967001867928004,0.1904704590944522,0.02,0.06,all,comparison,weak_only
1,0,9.757833003997803,10.006921768188477,0.3864016248867915,1.183200033387799,408,799,4,23,True,0.00980392156862745,0.003818972893321563,0.024933496211178213,0.028785982478097622,0.019256998291975344,0.042824323335219884,-0.01898206090947017,-0.034242946357791765,-0.0011017485944158426,0.02,0.06,all,comparison,weak_only
1,1,9.757833003997803,10.006921768188477,1.183200033387799,1.3036914768597134,296,725,5,19,True,0.016891891891891893,0.007236239007100652,0.03892635263427524,0.02620689655172414,0.01684056727979836,0.040567608825325965,-0.009315004659832246,-0.026619966076627016,0.014627542912173677,0.02,0.06,all,comparison,weak_only
1,2,9.757833003997803,10.006921768188477,1.3036914768597134,1.4591103326268486,263,515,9,13,True,0.034220532319391636,0.01810610143740602,0.06374571768104151,0.02524271844660194,0.014810276148928991,0.04270528725366139,0.008977813872789696,-0.01478383994153008,0.040291906913049694,0.02,0.06,all,comparison,weak_only
1,3,9.757833003997803,10.006921768188477,1.4591103326268486,1.7085361622827162,201,323,7,5,True,0.03482587064676617,0.016970180548271974,0.07012868568422963,0.015479876160990712,0.006629731388861717,0.03571942122671137,0.01934599448577546,-0.007644093571894921,0.05574123884622725,0.02,0.06,all,comparison,weak_only
1,4,9.757833003997803,10.006921768188477,1.7085361622827162,3.245336315750976,88,172,7,7,True,0.07954545454545454,0.03906485712225405,0.15519881257322346,0.040697674418604654,0.01985149669558029,0.08161182680247542,0.03884778012684989,-0.01870781589152025,0.11732066529451596,0.02,0.06,all,comparison,weak_only
