mass_bin,bulge_bin,mass_lo,mass_hi,bulge_lo,bulge_hi,n_barred,n_unbarred,k_barred,k_unbarred,valid,q_barred,q_barred_lo,q_barred_hi,q_unbarred,q_unbarred_lo,q_unbarred_hi,delta_q,delta_q_lo,delta_q_hi,sample,scheme,barmode
0,0,9.500033378601074,10.029934883117676,0.3829151653165051,1.2574362712275244,2895,3889,28,75,True,0.009671848013816925,0.0067001411361045995,0.013943091572813125,0.019285163281049112,0.01541342770863824,0.02410563836380828,-0.009613315267232187,-0.015276178658710456,-0.0038484338388818816,all,comparison,all
0,1,9.500033378601074,10.029934883117676,1.2574362712275244,1.4081669343294456,1610,2460,15,39,True,0.009316770186335404,0.005654177659926103,0.015315328753314508,0.015853658536585366,0.011618928024642072,0.021598087026264305,-0.006536888350249962,-0.013349600195583237,0.0008058391668421651,all,comparison,all
0,2,9.500033378601074,10.029934883117676,1.4081669343294456,1.567936572450753,1050,1609,23,18,True,0.021904761904761906,0.014639999210271438,0.03265502643473348,0.011187072715972654,0.007087987676297077,0.017614662793654326,0.010717689188789252,0.0010176535592684877,0.02222293519341067,all,comparison,all
0,3,9.500033378601074,10.029934883117676,1.567936572450753,1.775981109566201,630,900,29,7,True,0.046031746031746035,0.032238949574580386,0.06532718145091997,0.0077777777777777776,0.003772571890802391,0.01596701700122867,0.038253968253968255,0.022213242797564862,0.057960705736681474,all,comparison,all
0,4,9.500033378601074,10.029934883117676,1.775981109566201,3.245336315750976,279,549,24,11,True,0.08602150537634409,0.05848640049559965,0.12480164729218508,0.020036429872495445,0.011224160327876539,0.035518822508140147,0.06598507550384865,0.034395734223634185,0.10575385096324375,all,comparison,all
1,0,10.029934883117676,10.333564758300781,0.3829151653165051,1.2574362712275244,1357,3905,35,84,True,0.025792188651436992,0.018603109333222873,0.03565850824321779,0.021510883482714467,0.01740876672585194,0.026553481585068053,0.004281305168722525,-0.0044999622264450985,0.014966417436457009,all,comparison,all
1,1,10.029934883117676,10.333564758300781,1.2574362712275244,1.4081669343294456,1242,2758,18,42,True,0.014492753623188406,0.009186782272310717,0.022792775430326515,0.015228426395939087,0.011286056269881344,0.0205193388371218,-0.0007356727727506809,-0.008228808727516005,0.008453050980295806,all,comparison,all
1,2,10.029934883117676,10.333564758300781,1.4081669343294456,1.567936572450753,1133,1882,40,44,True,0.0353045013239188,0.026032685189782342,0.04771678811643161,0.023379383634431455,0.017461646925285124,0.031238872617925538,0.011925117689487341,-0.00022964028864196073,0.025675916618217484,all,comparison,all
1,3,10.029934883117676,10.333564758300781,1.567936572450753,1.775981109566201,843,1243,72,30,True,0.08540925266903915,0.06837217064673447,0.10620768403654614,0.02413515687851971,0.01695754250576142,0.03424500483420079,0.06127409579051944,0.041463210158581475,0.0832762069490634,all,comparison,all
1,4,10.029934883117676,10.333564758300781,1.775981109566201,3.245336315750976,631,877,104,84,True,0.1648177496038035,0.13791399584042646,0.19577791396996774,0.09578107183580388,0.07802952203631955,0.11705831936792405,0.06903667776799961,0.03473604761192905,0.10472490128589804,all,comparison,all
2,0,10.333564758300781,10.544611930847168,0.3829151653165051,1.2574362712275244,864,2528,28,60,True,0.032407407407407406,0.022515370327949563,0.04643899709995876,0.023734177215189875,0.018483657643608667,0.0304299338410565,0.00867323019221753,-0.003271875683169497,0.023655001284837746,all,comparison,all
2,1,10.333564758300781,10.544611930847168,1.2574362712275244,1.4081669343294456,1204,2484,40,38,True,0.03322259136212625,0.024491679220997722,0.04492261204083296,0.015297906602254429,0.011165740161495706,0.020926923355150243,0.01792468475987182,0.007536486820840854,0.030332959554390894,all,comparison,all
2,2,10.333564758300781,10.544611930847168,1.4081669343294456,1.567936572450753,1368,2006,77,57,True,0.056286549707602336,0.04526988688824564,0.069788203684686,0.028414755732801594,0.02199633696080916,0.036635879179184004,0.027871793974800742,0.014125749802164935,0.04282140131578344,all,comparison,all
2,3,10.333564758300781,10.544611930847168,1.567936572450753,1.775981109566201,1464,1419,160,88,True,0.1092896174863388,0.0943181934401125,0.12630608234569177,0.06201550387596899,0.05061040550429997,0.07578558732103818,0.0472741136103698,0.026933053262981527,0.06775914095174873,all,comparison,all
2,4,10.333564758300781,10.544611930847168,1.775981109566201,3.245336315750976,1230,1304,280,255,True,0.22764227642276422,0.2050782037228313,0.2519022736227864,0.1955521472392638,0.1749321344959915,0.2179606395899707,0.032090129183500404,0.00028953317902988274,0.0639292935833052,all,comparison,all
3,0,10.544611930847168,10.732253074645996,0.3829151653165051,1.2574362712275244,566,1505,26,55,True,0.045936395759717315,0.03153843081364012,0.06645629729241921,0.036544850498338874,0.028183617647953685,0.04726596531198983,0.009391545261378441,-0.008559602262831638,0.03154953645395143,all,comparison,all
3,1,10.544611930847168,10.732253074645996,1.2574362712275244,1.4081669343294456,1133,2082,64,58,True,0.05648720211827008,0.044482606180958235,0.0714891133563115,0.027857829010566763,0.021611739458101634,0.03584299101237756,0.028629373107703318,0.01421156690102655,0.04487963388996424,all,comparison,all
3,2,10.544611930847168,10.732253074645996,1.4081669343294456,1.567936572450753,1553,1848,98,100,True,0.06310367031551835,0.052055574695842606,0.07630782267415923,0.05411255411255411,0.04469185686675389,0.0653831486634205,0.008991116202964236,-0.006791365172013446,0.02521144838535894,all,comparison,all
3,3,10.544611930847168,10.732253074645996,1.567936572450753,1.775981109566201,1846,1546,280,135,True,0.15167930660888407,0.13604017592240653,0.16876511219139367,0.08732212160413971,0.07425299703837218,0.10243698454791575,0.06435718500474435,0.04260766798854702,0.08586826980581529,all,comparison,all
3,4,10.544611930847168,10.732253074645996,1.775981109566201,3.245336315750976,1999,1793,581,531,True,0.29064532266133064,0.2711572353796942,0.3109364963464109,0.29615170105967653,0.27547293030144027,0.3177020844381623,-0.00550637839834589,-0.03456157706668052,0.02346504354794078,all,comparison,all
4,0,10.732253074645996,10.93322467803955,0.3829151653165051,1.2574362712275244,338,699,30,40,True,0.08875739644970414,0.06287884866755183,0.12387865886514579,0.05722460658082976,0.042303189200278285,0.0769861011062052,0.03153278986887438,-0.0010281668306696828,0.06969234660501766,all,comparison,all
4,1,10.732253074645996,10.93322467803955,1.2574362712275244,1.4081669343294456,904,1423,98,89,True,0.1084070796460177,0.08977285661048184,0.13035529118339897,0.06254392129304287,0.05110258603742069,0.07634076633824466,0.04586315835297483,0.022677231558054504,0.07061448442090863,all,comparison,all
4,2,10.732253074645996,10.93322467803955,1.4081669343294456,1.567936572450753,1568,1586,237,148,True,0.15114795918367346,0.1342723669047811,0.16972868621618972,0.09331651954602774,0.07996734364207915,0.1086309956181822,0.057831439637645726,0.03504287250129415,0.08071033634118985,all,comparison,all
4,3,10.732253074645996,10.93322467803955,1.567936572450753,1.775981109566201,2598,1509,713,305,True,0.27444187836797534,0.2576254244021101,0.2919243777094994,0.20212060967528164,0.18262683442559874,0.22312715601514588,0.0723212686926937,0.04541275492632363,0.09850609362454191,all,comparison,all
4,4,10.732253074645996,10.93322467803955,1.775981109566201,3.245336315750976,2834,2412,1062,905,True,0.37473535638673255,0.3570947549373164,0.3927150881061879,0.3752072968490879,0.3560975918714927,0.3947138706100437,-0.0004719404623553247,-0.0267720780929601,0.025766420329323598,all,comparison,all
5,0,10.93322467803955,12.37898349761963,0.3829151653165051,1.2574362712275244,159,341,38,56,True,0.2389937106918239,0.17936038483150846,0.3109414056271985,0.16422287390029325,0.12868272900496827,0.20724398704841604,0.07477083679153065,0.0012388727917424375,0.1550177850555888,all,comparison,all
5,1,10.93322467803955,12.37898349761963,1.2574362712275244,1.4081669343294456,781,964,214,243,True,0.2740076824583867,0.24389063156717808,0.30633700226549543,0.2520746887966805,0.22568584666701916,0.2804316112661855,0.0219329936617062,-0.019433077052408848,0.06366494674485942,all,comparison,all
5,2,10.93322467803955,12.37898349761963,1.4081669343294456,1.567936572450753,1801,1641,652,516,True,0.3620210993892282,0.3401411483987892,0.3844884042020549,0.31444241316270566,0.2924338770173432,0.3373176733620859,0.04757868622652256,0.01592414809163005,0.07902952800880544,all,comparison,all
5,3,10.93322467803955,12.37898349761963,1.567936572450753,1.775981109566201,2985,2062,1367,845,True,0.4579564489112228,0.44014857927192497,0.47587239291472394,0.40979631425800195,0.3887561249539151,0.4311719733947549,0.04816013465322083,0.020338577820058636,0.0757947255763447,all,comparison,all
5,4,10.93322467803955,12.37898349761963,1.775981109566201,3.245336315750976,2533,2605,1343,1375,True,0.5302013422818792,0.5107342810726776,0.5495769376154329,0.527831094049904,0.5086333816444955,0.5469468451683466,0.0023702482319751805,-0.024913050926026945,0.02964598573126943,all,comparison,all
