mass_bin,bulge_bin,mass_lo,mass_hi,bulge_lo,bulge_hi,n_barred,n_unbarred,k_barred,k_unbarred,valid,q_barred,q_barred_lo,q_barred_hi,q_unbarred,q_unbarred_lo,q_unbarred_hi,delta_q,delta_q_lo,delta_q_hi,sample,scheme,barmode
5,2,10.933696111043295,12.37898349761963,1.4080759317986264,1.5679604806243066,1136,1649,359,521,True,0.3160211267605634,0.2896438974691891,0.34363843599456095,0.3159490600363857,0.2939605019034108,0.33879314378920405,7.206672417769955e-05,-0.03482220770008154,0.03537380121546671,all,conventional,weak_only
5,3,10.933696111043295,12.37898349761963,1.5679604806243066,1.7760225903165756,1829,2073,778,850,True,0.42536905412793874,0.4028908401116005,0.44816010666496553,0.4100337674867342,0.38904662552098707,0.4313537240503264,0.015335286641204537,-0.015645524407536006,0.04631741380568341,all,conventional,weak_only
5,4,10.933696111043295,12.37898349761963,1.7760225903165756,3.245336315750976,1505,2604,771,1378,True,0.5122923588039867,0.48703988645638363,0.5374822393002343,0.5291858678955453,0.509985436699159,0.5483003150998544,-0.016893509091558623,-0.04856446505428224,0.014779612597697112,all,conventional,weak_only
0,0,9.500033378601074,10.030103047688803,0.3829151653165051,1.2574031013558358,2506,3791,25,70,True,0.009976057462090982,0.006766379624072338,0.014685755781322054,0.018464785017145872,0.014641309332912134,0.02326316187664272,-0.00848872755505489,-0.014261634302060499,-0.002422408690529664,agn_clean,conventional,weak_only
0,1,9.500033378601074,10.030103047688803,1.2574031013558358,1.4080759317986264,1386,2413,7,33,True,0.005050505050505051,0.0024485937520875266,0.010388452306268604,0.013675922088686282,0.009754501622577289,0.01914332225651716,-0.008625417038181232,-0.014680366005763855,-0.0020018817753980622,agn_clean,conventional,weak_only
0,2,9.500033378601074,10.030103047688803,1.4080759317986264,1.5679604806243066,840,1584,7,12,True,0.008333333333333333,0.0040424210165855455,0.017100719835522332,0.007575757575757576,0.0043389407486507095,0.013195214608000744,0.0007575757575757572,-0.006312800883540687,0.010103379588761601,agn_clean,conventional,weak_only
0,3,9.500033378601074,10.030103047688803,1.5679604806243066,1.7760225903165756,485,871,5,4,True,0.010309278350515464,0.004411321820051967,0.023903500032591136,0.004592422502870264,0.0017873092193343623,0.011748239080647531,0.0057168558476451995,-0.0035563098539924546,0.019597472681017046,agn_clean,conventional,weak_only
0,4,9.500033378601074,10.030103047688803,1.7760225903165756,3.245336315750976,185,515,1,6,True,0.005405405405405406,0.0009548249094924379,0.029978312639718188,0.011650485436893204,0.005350160118778077,0.025182208780000995,-0.0062450800314877986,-0.020489910791627042,0.019122652800994965,agn_clean,conventional,weak_only
1,0,10.030103047688803,10.333945910135904,0.3829151653165051,1.2574031013558358,1142,3671,20,71,True,0.017513134851138354,0.01136528633633195,0.026896079128499444,0.019340779079269954,0.015362257984160792,0.024324204807487537,-0.0018276442281316002,-0.009741592253590716,0.008363934325571051,agn_clean,conventional,weak_only
1,1,10.030103047688803,10.333945910135904,1.2574031013558358,1.4080759317986264,933,2565,8,28,True,0.00857449088960343,0.004351108970327395,0.016827990901779846,0.01091617933723197,0.00756334079549268,0.015731774835413638,-0.00234168844762854,-0.008746914036019262,0.006566834928215998,agn_clean,conventional,weak_only
