feature,perm_median,perm_p5,perm_p95,gini_median,gini_p5,gini_p95,auc_median,auc_p5,auc_p95,n_input,leaf,n_repeats
log_mass,0.01956321365501986,0.01436099838386134,0.025355454597756143,0.05633871553798134,0.04535340370384923,0.07094048101473661,0.827641955478946,0.8226876961284036,0.832519217800247,48826,250,200
bulge_prominence,0.0492354691952593,0.04572457207640791,0.05483742146041626,0.14702788117022836,0.12951607970516923,0.16503974901775972,0.827641955478946,0.8226876961284036,0.832519217800247,48826,250,200
sigma_c,0.19853426838023433,0.17995248516028625,0.21146741408253186,0.7939194814592274,0.7669444470637724,0.8162761836977231,0.827641955478946,0.8226876961284036,0.832519217800247,48826,250,200
random_control,4.1467479194201575e-06,-0.00018271296122971293,0.0001515323873251306,0.0021497620308983836,0.0015079759908607025,0.0035447044661861917,0.827641955478946,0.8226876961284036,0.832519217800247,48826,250,200
