mass_bin,bulge_bin,mass_lo,mass_hi,bulge_lo,bulge_hi,n_barred,n_unbarred,k_barred,k_unbarred,valid,q_barred,q_barred_lo,q_barred_hi,q_unbarred,q_unbarred_lo,q_unbarred_hi,delta_q,delta_q_lo,delta_q_hi,z_lo,z_hi,sample,scheme,barmode
3,3,10.239534378051758,10.462076187133789,1.4591103326268486,1.7085361622827162,171,390,34,39,True,0.19883040935672514,0.14591834770221057,0.26497652417351536,0.1,0.07401732243386254,0.1337857338156179,0.09883040935672513,0.03605173401237802,0.16989663226790747,0.02,0.06,all,comparison,strong_only
3,4,10.239534378051758,10.462076187133789,1.7085361622827162,3.245336315750976,229,436,93,130,True,0.40611353711790393,0.34456323117396953,0.47076175339798626,0.2981651376146789,0.2571406188886469,0.342715200815361,0.10794839950322505,0.03196716304989601,0.18451473025570952,0.02,0.06,all,comparison,strong_only
4,0,10.462076187133789,10.715106010437012,0.3864016248867915,1.183200033387799,21,274,1,12,False,,,,,,,,,,0.02,0.06,all,comparison,strong_only
4,1,10.462076187133789,10.715106010437012,1.183200033387799,1.3036914768597134,84,367,7,20,True,0.08333333333333333,0.04095255062240715,0.16215722305647606,0.05449591280653951,0.03555141682880991,0.08267015138557884,0.02883742052679382,-0.02205382098586106,0.10990590712261217,0.02,0.06,all,comparison,strong_only
4,2,10.462076187133789,10.715106010437012,1.3036914768597134,1.4591103326268486,167,389,32,36,True,0.19161676646706588,0.13912799465875042,0.25797385221728697,0.09254498714652956,0.06759683711184454,0.12546185645977945,0.09907177932053632,0.037115412001825776,0.16996376066832591,0.02,0.06,all,comparison,strong_only
4,3,10.462076187133789,10.715106010437012,1.4591103326268486,1.7085361622827162,262,427,87,99,True,0.3320610687022901,0.27782309976064384,0.39115253560346014,0.23185011709601874,0.1943204608366615,0.274161517135416,0.10021095160627133,0.031421331399376126,0.17021292700323845,0.02,0.06,all,comparison,strong_only
4,4,10.462076187133789,10.715106010437012,1.7085361622827162,3.245336315750976,400,629,218,301,True,0.545,0.49600246644964796,0.5931414270602654,0.4785373608903021,0.43974766480485816,0.517587620954841,0.06646263910969796,0.0038073831041081224,0.128286886147571,0.02,0.06,all,comparison,strong_only
5,0,10.715106010437012,12.047352790832521,0.3864016248867915,1.183200033387799,26,93,4,21,False,,,,,,,,,,0.02,0.06,all,comparison,strong_only
5,1,10.715106010437012,12.047352790832521,1.183200033387799,1.3036914768597134,91,182,30,54,True,0.32967032967032966,0.24170900529290468,0.43142972132023044,0.2967032967032967,0.23509517670252966,0.3667159559177884,0.03296703296703296,-0.07945612762061074,0.15192305105349552,0.02,0.06,all,comparison,strong_only
5,2,10.715106010437012,12.047352790832521,1.3036914768597134,1.4591103326268486,235,355,110,151,True,0.46808510638297873,0.4053148412324217,0.531881991871579,0.4253521126760563,0.3749918858504361,0.47731057614996775,0.042732993706922406,-0.038751901296022934,0.12401149667033519,0.02,0.06,all,comparison,strong_only
