panel,control,scheme,sample,n_strong,n_unbarred,med_strong,med_unbarred,delta,delta_lo,delta_hi,n_cells,z_lo,z_hi,stat
suppression,mass+bulge_cells_LZ_z<0.05,conventional,all,1356,7125,,,0.18399667739868164,0.14442115465799968,0.21833548227945962,6.0,0.02,0.05,
suppression,lz_band_mean_z<0.05,conventional,all,1356,7125,,,0.004617270129564588,-0.020098747278766708,0.03076754201870386,,0.02,0.05,mean
suppression,mass_split:9.5-10.0_z<0.05,conventional,all,469,3374,,,0.3014054298400879,0.27795440673828126,0.3262036323547363,,0.02,0.05,median
suppression,mass_split:9.5-10.0_z<0.05,conventional,all,469,3374,,,0.22205815637429893,0.1940703397543507,0.24850853881719245,,0.02,0.05,mean
suppression,mass_split:10.0-10.5_z<0.05,conventional,all,887,3751,,,-0.07901859283447266,-0.12310436248779297,-0.0043819427490234385,,0.02,0.05,median
suppression,mass_split:10.0-10.5_z<0.05,conventional,all,887,3751,,,-0.0613553544409271,-0.09497834821937431,-0.026580233315713783,,0.02,0.05,mean
suppression,decomp_nonquenched_z<0.05,conventional,all,1120,6693,,,0.31464624404907227,0.2883742904663086,0.3311361312866211,,0.02,0.05,median
suppression,decomp_Q_only_z<0.05,conventional,all,236,432,,,-0.2456808090209961,-0.2966722869873047,-0.20023935317993163,,0.02,0.05,median
suppression,qfrac_inband_z<0.05,conventional,all,1356,7125,0.17404129793510326,0.06063157894736842,0.11340971898773483,0.09330845546828523,0.13516081406941657,,0.02,0.05,fraction
suppression,mass_only,conventional,agn_clean,2041,25484,-9.769999504089355,-10.109824657440186,0.3398251533508301,0.3287677383422852,0.3517791366577148,,,,
suppression,mass+bulge_cells,conventional,agn_clean,2041,25484,,,0.2883070627848307,0.26167617925008135,0.3085034332275391,15.0,,,
suppression,mass_only_zslice:LZ_z<0.05,conventional,agn_clean,826,6073,,,0.41487884521484375,0.39654241561889647,0.4339441299438476,,0.02,0.05,
suppression,mass_only_zslice:z0.02-0.06,conventional,agn_clean,1092,8943,,,0.4113335609436035,0.39485504150390627,0.424572639465332,,0.02,0.06,
suppression,mass_only_zslice:z0.06-0.1,conventional,agn_clean,815,11961,,,0.34094810485839844,0.32399784088134764,0.3593162536621094,,0.06,0.1,
suppression,mass_only_zslice:z0.1-0.15,conventional,agn_clean,134,4580,,,-0.06365108489990234,-0.10611946105957032,0.04175457000732419,,0.1,0.15,
suppression,mass+bulge_cells_LZ_z<0.05,conventional,agn_clean,826,6073,,,0.3934493859608968,0.3540851783752441,0.4130909315745036,6.0,0.02,0.05,
suppression,lz_band_mean_z<0.05,conventional,agn_clean,826,6073,,,0.3412458189747909,0.32090956486390376,0.36500944613441383,,0.02,0.05,mean
suppression,mass_split:9.5-10.0_z<0.05,conventional,agn_clean,415,3238,,,0.33408117294311523,0.317602653503418,0.3621213912963867,,0.02,0.05,median
suppression,mass_split:9.5-10.0_z<0.05,conventional,agn_clean,415,3238,,,0.3209070555648914,0.29919143125283676,0.34248341241763575,,0.02,0.05,mean
suppression,mass_split:10.0-10.5_z<0.05,conventional,agn_clean,411,2835,,,0.5353012084960938,0.480537109375,0.5839338684082032,,0.02,0.05,median
suppression,mass_split:10.0-10.5_z<0.05,conventional,agn_clean,411,2835,,,0.36512419335095814,0.32576961735581883,0.40306686485224813,,0.02,0.05,mean
suppression,decomp_nonquenched_z<0.05,conventional,agn_clean,788,5913,,,0.4249730110168457,0.4051689338684082,0.4392657089233398,,0.02,0.05,median
suppression,decomp_Q_only_z<0.05,conventional,agn_clean,38,160,,,-0.8700041770935059,-0.9420365333557129,-0.7970889663696289,,0.02,0.05,median
suppression,qfrac_inband_z<0.05,conventional,agn_clean,826,6073,0.04600484261501211,0.02634612218014161,0.0196587204348705,0.006610586439699893,0.03658607479083342,,0.02,0.05,fraction
enhancement,mass_only:ssfr_fib,comparison,all,483,2470,-9.866047859191895,-10.047870635986328,0.1818227767944336,0.15503013610839844,0.20450572967529296,,,,
enhancement,mass_only:sfr_fib,comparison,all,483,2470,-1.4985852241516113,-1.5966550707817078,0.09806984663009644,0.06289356708526611,0.12127726793289184,,,,
enhancement,bulge_median,comparison,all,483,2470,1.088702492062857,1.2718644455454104,-0.18316195348255349,,,,,,
enhancement,mass_only:ssfr_fib,comparison,agn_clean,469,2430,-9.853597640991211,-10.04571533203125,0.19211769104003906,0.16433704376220704,0.2086669921875,,,,
enhancement,mass_only:sfr_fib,comparison,agn_clean,469,2430,-1.4885035753250122,-1.5961042046546936,0.1076006293296814,0.07653152942657471,0.12816401481628417,,,,
enhancement,bulge_median,comparison,agn_clean,469,2430,1.088702492062857,1.2723617817191255,-0.18365928965626854,,,,,,
enhancement,mass_only:ssfr_fib,conventional,all,488,2474,-9.865742683410645,-10.048273086547852,0.18253040313720703,0.1576905632019043,0.20495477676391602,,,,
enhancement,mass_only:sfr_fib,conventional,all,488,2474,-1.4910485744476318,-1.5968464612960815,0.10579788684844971,0.06741703033447266,0.12479361772537231,,,,
enhancement,bulge_median,conventional,all,488,2474,1.0876388906557808,1.2721242284121175,-0.1844853377563367,,,,,,
enhancement,mass_only:ssfr_fib,conventional,agn_clean,474,2434,-9.852816581726074,-10.046494483947754,0.1936779022216797,0.16699487686157227,0.2090984344482422,,,,
enhancement,mass_only:sfr_fib,conventional,agn_clean,474,2434,-1.4839842915534973,-1.596320390701294,0.11233609914779663,0.08398674964904786,0.13098938465118407,,,,
enhancement,bulge_median,conventional,agn_clean,474,2434,1.0876388906557808,1.2725956660998672,-0.1849567754440864,,,,,,
