mass_bin,bulge_bin,mass_lo,mass_hi,bulge_lo,bulge_hi,n_barred,n_unbarred,k_barred,k_unbarred,valid,q_barred,q_barred_lo,q_barred_hi,q_unbarred,q_unbarred_lo,q_unbarred_hi,delta_q,delta_q_lo,delta_q_hi,z_lo,z_hi,sample,scheme,barmode
5,1,10.716776847839355,12.047352790832521,1.1832424306609615,1.3037786136088494,93,184,20,55,True,0.21505376344086022,0.14375022006940472,0.30896351797814325,0.29891304347826086,0.23743110790849697,0.3686196517875432,-0.08385928003740065,-0.1835749083977973,0.02838630071595173,0.02,0.06,all,conventional,weak_only
5,2,10.716776847839355,12.047352790832521,1.3037786136088494,1.4594574633678798,202,359,79,152,True,0.3910891089108911,0.32642587896700664,0.45981737711908705,0.4233983286908078,0.37336325064133336,0.47505539429863364,-0.03230921977991669,-0.1150726521277048,0.05270303749110698,0.02,0.06,all,conventional,weak_only
5,3,10.716776847839355,12.047352790832521,1.4594574633678798,1.7088035530257262,337,490,193,279,True,0.5727002967359051,0.5193572967952431,0.624404557087026,0.5693877551020409,0.5251728235594548,0.612523189574772,0.0033125416338641855,-0.06528878014509824,0.07134408365498898,0.02,0.06,all,conventional,weak_only
5,4,10.716776847839355,12.047352790832521,1.7088035530257262,3.245336315750976,309,852,209,556,True,0.6763754045307443,0.6223201789821984,0.7260991143266007,0.6525821596244131,0.6199896176744482,0.683804966381186,0.023793244906331168,-0.038631358183115506,0.08324676546334084,0.02,0.06,all,conventional,weak_only
0,0,9.500271797180176,10.017386754353842,0.3829151653165051,1.259665403031436,1008,1301,4,9,True,0.003968253968253968,0.0015442258586393053,0.010158653794557944,0.006917755572636433,0.0036436893869956207,0.013095094220044477,-0.0029495016043824653,-0.009585420910775747,0.004053394896170779,0.06,0.1,all,conventional,weak_only
0,1,9.500271797180176,10.017386754353842,1.259665403031436,1.4014136377643032,607,1024,3,11,True,0.004942339373970346,0.0016822351030484012,0.014429079344556863,0.0107421875,0.006008712294577324,0.019132770955518102,-0.005799848126029654,-0.014801524113383209,0.004802228217304001,0.06,0.1,all,conventional,weak_only
0,2,9.500271797180176,10.017386754353842,1.4014136377643032,1.5514564853613673,408,811,2,3,True,0.004901960784313725,0.0013453253819229894,0.017694668413621786,0.0036991368680641184,0.0012588207488559199,0.010818938322138698,0.001202823916249607,-0.006755896340863443,0.01422620716526075,0.06,0.1,all,conventional,weak_only
0,3,9.500271797180176,10.017386754353842,1.5514564853613673,1.75246502175061,250,482,0,3,True,0.0,0.0,0.015133299495444574,0.006224066390041493,0.002118955579692385,0.01813756769969748,-0.006224066390041493,-0.01813756769969748,0.009456134131127492,0.06,0.1,all,conventional,weak_only
0,4,9.500271797180176,10.017386754353842,1.75246502175061,3.031238183903549,86,285,1,4,True,0.011627906976744186,0.0020555686652495644,0.06296406589291725,0.014035087719298246,0.0054711481743725775,0.035525247803688945,-0.00240718074255406,-0.025932839951223363,0.04963839805906671,0.06,0.1,all,conventional,weak_only
1,0,10.017386754353842,10.284951527913412,0.3829151653165051,1.259665403031436,533,1585,6,24,True,0.01125703564727955,0.005169130641938108,0.024339504655145373,0.015141955835962145,0.010196250355422772,0.022432215205372114,-0.0038849201886825956,-0.013382839383292076,0.01010117998406059,0.06,0.1,all,conventional,weak_only
