sample,feature,perm_median,perm_p5,perm_p95,gini_median,gini_p5,gini_p95,auc_median,auc_p5,auc_p95,n_input,leaf,n_repeats
conventional:main,log_mass,0.19749442095087105,0.18837356287086182,0.20591945193829,0.6744294882749933,0.6591102451595351,0.6908900952619467,0.8835153847519606,0.8793218407920232,0.8873761548227636,83929,250,200
conventional:main,bulge_prominence,0.03964326330962196,0.03503262407149218,0.04568178770974621,0.16237747253367601,0.13844278747337144,0.18347523298316426,0.8835153847519606,0.8793218407920232,0.8873761548227636,83929,250,200
conventional:main,bar_strength,0.007309511768212883,0.00566166330385756,0.009272328796102246,0.022764792397586362,0.016966036153073488,0.02928738113548661,0.8835153847519606,0.8793218407920232,0.8873761548227636,83929,250,200
conventional:main,spiral,0.050620904835820844,0.044540384302117556,0.05577155697688247,0.14063146573483432,0.1231659344720406,0.1562443411318421,0.8835153847519606,0.8793218407920232,0.8873761548227636,83929,250,200
conventional:main,random_control,-1.2689157015022267e-06,-8.924498102544808e-05,7.484104616464758e-05,0.0004049383399052892,0.0002417835891618726,0.0007138035429088889,0.8835153847519606,0.8793218407920232,0.8873761548227636,83929,250,200
conventional:sigma,log_mass,0.03243074235889213,0.025272388583121405,0.04241264709162424,0.08825735480722544,0.07205486146399306,0.10718458760728762,0.8627715998098817,0.8588578717953392,0.8672467873931926,48826,150,200
conventional:sigma,bulge_prominence,0.009112011598346936,0.007353244392996791,0.011238489833778089,0.03531387945423294,0.028510865716209963,0.04401578848989449,0.8627715998098817,0.8588578717953392,0.8672467873931926,48826,150,200
conventional:sigma,bar_strength,0.011470387146326621,0.010189837644481782,0.013009325263753922,0.042133470273812465,0.03481640701451618,0.050676510881619764,0.8627715998098817,0.8588578717953392,0.8672467873931926,48826,150,200
conventional:sigma,spiral,0.08726320554450381,0.08003911987330968,0.09588053162211344,0.2335972928786351,0.21993938716018424,0.2504646236103908,0.8627715998098817,0.8588578717953392,0.8672467873931926,48826,150,200
conventional:sigma,sigma_c,0.1041469831791032,0.08680334011158296,0.12045629174417652,0.5988601846441789,0.5745070452124375,0.621762180812781,0.8627715998098817,0.8588578717953392,0.8672467873931926,48826,150,200
conventional:sigma,random_control,8.371915713689671e-06,-7.171497540864102e-05,8.960718272814971e-05,0.0013498072508838523,0.0009341048379219437,0.001989746590106495,0.8627715998098817,0.8588578717953392,0.8672467873931926,48826,150,200
