mass_bin,bulge_bin,mass_lo,mass_hi,bulge_lo,bulge_hi,n_barred,n_unbarred,k_barred,k_unbarred,valid,q_barred,q_barred_lo,q_barred_hi,q_unbarred,q_unbarred_lo,q_unbarred_hi,delta_q,delta_q_lo,delta_q_hi,z_lo,z_hi,sample,scheme,barmode
0,2,9.500271797180176,10.017386754353842,1.4014136377643032,1.5514564853613673,61,811,2,3,True,0.03278688524590164,0.009037890398362391,0.11189490419495614,0.0036991368680641184,0.0012588207488559199,0.010818938322138698,0.029087748377837522,0.004294476528122159,0.10823339768849537,0.06,0.1,all,conventional,strong_only
0,3,9.500271797180176,10.017386754353842,1.5514564853613673,1.75246502175061,33,482,0,3,True,0.0,0.0,0.10426999754245206,0.006224066390041493,0.002118955579692385,0.01813756769969748,-0.006224066390041493,-0.01813756769969748,0.09812670898929242,0.06,0.1,all,conventional,strong_only
0,4,9.500271797180176,10.017386754353842,1.75246502175061,3.031238183903549,11,285,0,4,False,,,,,,,,,,0.06,0.1,all,conventional,strong_only
1,0,10.017386754353842,10.284951527913412,0.3829151653165051,1.259665403031436,32,1585,4,24,True,0.125,0.04970134387480074,0.2806830548165022,0.015141955835962145,0.010196250355422772,0.022432215205372114,0.10985804416403785,0.034207297334054226,0.2656196362196478,0.06,0.1,all,conventional,strong_only
1,1,10.017386754353842,10.284951527913412,1.259665403031436,1.4014136377643032,49,1158,1,11,True,0.02040816326530612,0.0036116725898252405,0.10693521523391616,0.009499136442141624,0.005312352041014004,0.016929459545675304,0.010909026823164497,-0.007457567864866885,0.09753731253862853,0.06,0.1,all,conventional,strong_only
1,2,10.017386754353842,10.284951527913412,1.4014136377643032,1.5514564853613673,88,803,3,9,True,0.03409090909090909,0.011660997199585459,0.09549604219270044,0.0112079701120797,0.005907574343418914,0.021162748558205793,0.022882938978829388,-0.0016567953588523844,0.08451640851083894,0.06,0.1,all,conventional,strong_only
1,3,10.017386754353842,10.284951527913412,1.5514564853613673,1.75246502175061,67,550,1,6,True,0.014925373134328358,0.0026395717340788813,0.07981862319778105,0.01090909090909091,0.005009058805222746,0.023593817646868197,0.004016282225237448,-0.013642800663136287,0.06917719292041172,0.06,0.1,all,conventional,strong_only
1,4,10.017386754353842,10.284951527913412,1.75246502175061,3.031238183903549,56,337,4,15,True,0.07142857142857142,0.028126036578876967,0.16975448060863452,0.04451038575667656,0.027156658683810217,0.07213131801299488,0.026918185671894863,-0.024443525973231697,0.12676374771350765,0.06,0.1,all,conventional,strong_only
2,0,10.284951527913412,10.487823009490967,0.3829151653165051,1.259665403031436,31,1155,2,29,True,0.06451612903225806,0.017874783521914572,0.20718636736298127,0.025108225108225107,0.017538054384224233,0.0358268458357141,0.039407903924032955,-0.008449216145137474,0.18227884005218983,0.06,0.1,all,conventional,strong_only
2,1,10.284951527913412,10.487823009490967,1.259665403031436,1.4014136377643032,72,1063,4,13,True,0.05555555555555555,0.021814215981316658,0.13432015965997915,0.012229539040451553,0.007160784831861612,0.020810999142189625,0.043326016515103996,0.008510510576774995,0.12225354738332311,0.06,0.1,all,conventional,strong_only
2,2,10.284951527913412,10.487823009490967,1.4014136377643032,1.5514564853613673,114,785,5,12,True,0.043859649122807015,0.018877509553328058,0.09858080231087835,0.015286624203821656,0.008765858272203369,0.026528253756741813,0.02857302491898536,0.0011781069144719304,0.0836813273294872,0.06,0.1,all,conventional,strong_only
2,3,10.284951527913412,10.487823009490967,1.5514564853613673,1.75246502175061,176,579,15,21,True,0.08522727272727272,0.0523279093406539,0.13584593579276888,0.03626943005181347,0.02384293805073659,0.05480874008048027,0.04895784267545925,0.011194446011707986,0.10107949608353001,0.06,0.1,all,conventional,strong_only
2,4,10.284951527913412,10.487823009490967,1.75246502175061,3.031238183903549,161,480,26,59,True,0.16149068322981366,0.1126531680407133,0.22610541381238425,0.12291666666666666,0.09650123621602191,0.15531980267896683,0.038574016563147004,-0.020035420503568054,0.10837973534141783,0.06,0.1,all,conventional,strong_only
3,0,10.487823009490967,10.67597770690918,0.3829151653165051,1.259665403031436,28,745,4,20,False,,,,,,,,,,0.06,0.1,all,conventional,strong_only
3,1,10.487823009490967,10.67597770690918,1.259665403031436,1.4014136377643032,97,826,7,25,True,0.07216494845360824,0.03539415830866491,0.1415316718939501,0.03026634382566586,0.0205835279059829,0.044298092852287474,0.041898604627942385,0.0025415088429437335,0.11193787393440602,0.06,0.1,all,conventional,strong_only
3,2,10.487823009490967,10.67597770690918,1.4014136377643032,1.5514564853613673,166,721,11,26,True,0.06626506024096386,0.03740095467368268,0.11474952142400321,0.036061026352288486,0.024726038823330063,0.05231350981334329,0.030204033888675375,-0.0029211802064970926,0.07999584966688628,0.06,0.1,all,conventional,strong_only
